bin	S15	phylum	abu_perc
SPAdes-MetaBAT2Refined-S15.45	1462.83	Actinobacteriota	21.97
SPAdes-MaxBin2Refined-S15.004_sub	1038.68	Acidobacteriota	15.6
SPAdes-MetaBAT2Refined-S15.18	987.6	Actinobacteriota	14.83
SPAdes-MetaBAT2Refined-S15.49	509.906	Actinobacteriota	7.66
SPAdes-MetaBAT2Refined-S15.51	487.881	Actinobacteriota	7.33
SPAdes-MaxBin2Refined-S15.001_sub	454.57	Nitrospirota_A	6.83
SPAdes-MetaBAT2Refined-S15.19	349.741	Actinobacteriota	5.25
SPAdes-MetaBAT2Refined-S15.20	333.57	Actinobacteriota	5.01
SPAdes-MetaBAT2Refined-S15.13	94.5378	Firmicutes_E	1.42
SPAdes-MetaBAT2Refined-S15.11	84.4045	Actinobacteriota	1.27
SPAdes-MetaBAT2Refined-S15.68	75.313	Actinobacteriota	1.13
SPAdes-MetaBAT2Refined-S15.14	74.084	Actinobacteriota	1.11
SPAdes-MetaBAT2Refined-S15.56	63.3581	Actinobacteriota	0.95
SPAdes-MetaBAT2Refined-S15.6	54.1284	Proteobacteria	0.81
SPAdes-MaxBin2Refined-S15.034_sub	48.5018	Actinobacteriota	0.73
SPAdes-MaxBin2Refined-S15.033_sub	42.2961	Proteobacteria	0.64
SPAdes-MetaBAT2Refined-S15.72	40.9588	Actinobacteriota	0.62
SPAdes-MetaBAT2Refined-S15.26	35.3192	Actinobacteriota	0.53
SPAdes-MaxBin2Refined-S15.019_sub	34.4943	Proteobacteria	0.52
SPAdes-MetaBAT2Refined-S15.69	32.05845	Actinobacteriota	0.48
SPAdes-MetaBAT2Refined-S15.74	30.07075	Actinobacteriota	0.45
SPAdes-MetaBAT2Refined-S15.42_sub	29.6327	Actinobacteriota	0.44
SPAdes-MaxBin2Refined-S15.043_sub	28.2233	Nitrospirota_A	0.42
SPAdes-MaxBin2Refined-S15.021_sub	20.2589	Acidobacteriota	0.3
SPAdes-MetaBAT2Refined-S15.38	19.1291	Acidobacteriota	0.29
SPAdes-MetaBAT2Refined-S15.73	18.4535	Actinobacteriota	0.28
SPAdes-MaxBin2Refined-S15.037_sub	17.691	Acidobacteriota	0.27
SPAdes-MetaBAT2Refined-S15.57	17.5743	Actinobacteriota	0.26
SPAdes-MetaBAT2Refined-S15.5	16.22035	Actinobacteriota	0.24
SPAdes-MetaBAT2Refined-S15.67	16.09615	Dormibacterota	0.24
SPAdes-MetaBAT2Refined-S15.61	15.24765	Firmicutes_E	0.23
SPAdes-MetaBAT2Refined-S15.22	14.82	Actinobacteriota	0.22
SPAdes-MetaBAT2Refined-S15.46	14.9779	Firmicutes_E	0.22
SPAdes-MetaBAT2Refined-S15.50_sub	12.5823	Acidobacteriota	0.19
SPAdes-MetaBAT2Refined-S15.62	12.32	Firmicutes_E	0.19
SPAdes-MaxBin2Refined-S15.026_sub	11.64815	Acidobacteriota	0.17
SPAdes-MetaBAT2Refined-S15.44_sub	9.987795	Actinobacteriota	0.15
SPAdes-MetaBAT2Refined-S15.75	10.0716	Proteobacteria	0.15
SPAdes-MetaBAT2Refined-S15.15_sub	8.691425	Proteobacteria	0.13
SPAdes-MetaBAT2Refined-S15.27	8.924795	Proteobacteria	0.13
SPAdes-MaxBin2Refined-S15.057_sub	6.468915	Proteobacteria	0.1
SPAdes-MaxBin2Refined-S15.010	6.012255	Proteobacteria	0.09
SPAdes-MaxBin2Refined-S15.064_sub	4.90385	Proteobacteria	0.07
SPAdes-MaxBin2Refined-S15.065_sub	4.910705	Proteobacteria	0.07
