sample	phylum	bin	snps	dnds_sum	dnds_glob
S1	Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	17	121.715190324551	0.894964634739344
S1	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	1	0.0978826998914054	0.0122353374864257
S1	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	17	40.8071308518356	0.300052432734085
S1	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	1	0.0317245868873267	0.00396557336091584
S1	Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	1073	2305.74824929135	0.268610001082403
S1	Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	2	3.39082377899297	0.211926486187061
S1	Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	2	3.98909072433138	0.249318170270711
S15	Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	988	1279.79065110133	0.161916833388326
S15	Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	396	295.665675291809	0.0933288116451417
S15	Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	1121	1641.41939856275	0.183030709027961
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	1597	2203.88791967651	0.172502185322206
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.11	2164	2837.907856425	0.163927209821222
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	65	68.0847540761694	0.130932219377249
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	116	84.2530086567989	0.0907898800181022
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.26	1603	2186.15968010337	0.170474086096645
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	443	640.781646989518	0.180807462468826
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.44_sub	405	634.433795326574	0.195812899792153
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.49	762	1130.38201388121	0.185430120387337
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.5	128	179.575072310797	0.175366281553513
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.51	880	1255.36461467804	0.178318837312222
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	971	966.979583336402	0.124482438637539
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.57	1004	1489.45491810936	0.185440104346284
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.69	232	342.255167750303	0.184404724003396
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.72	585	852.801721803867	0.182222590129031
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.73	192	257.40090118064	0.167578711706146
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.74	1252	1295.12905574727	0.129306015949208
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.14	549	716.414382365132	0.16311802877166
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	711	1032.50416851718	0.181523236377844
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	1041	1864.64865302569	0.22390113508954
S15	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	1731	2216.14062207013	0.160033262714481
S15	Dormibacterota	SPAdes-MetaBAT2Refined-S15.67	92	79.8307226123614	0.108465655723317
S15	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.13	302	466.375092530206	0.193036048232701
S15	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.46	236	382.064331882869	0.202364582565079
S15	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.61	355	421.431625142894	0.148391417303836
S15	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.62	330	393.523825876026	0.14906205525607
S15	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	140	281.634052955709	0.251458975853312
S15	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	1014	2031.3020493156	0.250407057361391
S15	Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	2281	1258.40701117486	0.0689613662414982
S15	Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	288	344.833474875119	0.149667306803437
S15	Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	32	31.4797272376921	0.122967684522235
S15	Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	2415	1191.21581280037	0.0616571331677212
S17	Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	708	327.33159409555	0.0577915950027454
S17	Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	620	112.460096606513	0.0226734065738937
S17	Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	165	75.4565944092742	0.0571640866736926
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	1702	664.982654607391	0.0488383265722232
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.11	159	36.6902509085917	0.0288445368778236
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	2	0.25736487787393	0.0160853048671206
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	190	49.2576747675099	0.032406364978625
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.26	96	43.4266738522338	0.056545148245096
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	28	8.94105462869062	0.0399154224495117
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.5	10	2.78832251635548	0.0348540314544435
