KO	KO_definition	sum_ko	score_avg	dNdS
K00955	bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	96	737	NS
K02199	cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE	427	122.2	NS
K02379	FdhD protein	153	74.87	NS
K02426	cysteine desulfuration protein SufE	48	103.37	NS
K02588	nitrogenase iron protein NifH	22	369.57	NS
K03539	ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]	1	22.17	NS
K03798	cell division protease FtsH [EC:3.4.24.-]	255	754.83	NS
K03805	thiol:disulfide interchange protein DsbG	45	106.33	NS
K03981	thiol:disulfide interchange protein DsbC [EC:5.3.4.1]	34	112.5	NS
K04087	modulator of FtsH protease HflC	76	176.6	NS
K04088	modulator of FtsH protease HflK	80	171.97	NS
K06202	iron-sulfur cluster assembly protein CyaY	23	95.43	NS
K06203	CysZ protein	33	57.53	NS
K11312	cupin 2 domain-containing protein	5	36.8	NS
K12267	peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	24	293.6	NS
K13283	ferrous-iron efflux pump FieF	106	189.97	NS
K13638	MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA	4	154.9	NS
K13639	MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR	42	100.63	NS
K14058	tRNA 2-thiocytidine biosynthesis protein TtcA	43	179.07	NS
K17225	sulfane dehydrogenase subunit SoxC	18	452.13	NS
K19342	copper chaperone NosL	21	72.93	NS
K19416	modulator of FtsH protease	44	176.93	NS
K21140	[CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]	91	112.07	NS
K21142	MoaE-MoaD fusion protein [EC:2.8.1.12]	40	207.43	NS
K21148	[CysO sulfur-carrier protein]-thiocarboxylate-dependent cysteine synthase [EC:2.5.1.113]	55	393.33	NS
K21307	sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6]	23	428.53	NS
K21308	sulfite dehydrogenase (quinone) subunit SoeB	22	265.93	NS
K21309	sulfite dehydrogenase (quinone) subunit SoeC	22	133.27	NS
K21600	CsoR family transcriptional regulator, copper-sensing transcriptional repressor	171	83	NS
K22068	iron-sulfur cluster assembly enzyme ISCU, mitochondrial	2	279.2	NS
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	215	65.6	PS
K00433	non-heme chloroperoxidase [EC:1.11.1.10]	49	197.1	PS
K00435	hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]	18	249.9	PS
K00677	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	147	203.7	PS
K00694	cellulose synthase (UDP-forming) [EC:2.4.1.12]	25	561.6	PS
K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	234	172.07	PS
K00972	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]	8	394.27	PS
K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	88	296.47	PS
K00986	RNA-directed DNA polymerase [EC:2.7.7.49]	156	89.87	PS
K01548	potassium-transporting ATPase KdpC subunit	169	49	PS
K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]	285	261.03	PS
K01791	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	54	429.2	PS
K01798	Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]	20	594.7	PS
K01854	UDP-galactopyranose mutase [EC:5.4.99.9]	46	81.53	PS
K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	222	375.47	PS
K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	185	374.23	PS
K01928	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	228	405.5	PS
K01929	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	183	319.53	PS
K01971	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	255	204.73	PS
K01974	RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]	9	201.8	PS
K01975	RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]	136	59.8	PS
K02068	UDP-glucose/iron transport system ATP-binding protein	16	241.23	PS
K02069	UDP-glucose/iron transport system permease protein	31	51.83	PS
K02099	AraC family transcriptional regulator, arabinose operon regulatory protein	5	172.53	PS
K02167	TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes	17	124.6	PS
K02171	BlaI family transcriptional regulator, penicillinase repressor	224	46.4	PS
K02172	bla regulator protein blaR1	80	69.07	PS
K02193	heme exporter protein A [EC:7.6.2.5]	113	192.87	PS
K02194	heme exporter protein B	160	51.4	PS
K02195	heme exporter protein C	164	111.17	PS
K02196	heme exporter protein D	38	26.7	PS
K02197	cytochrome c-type biogenesis protein CcmE	171	39.5	PS
K02198	cytochrome c-type biogenesis protein CcmF	155	475.5	PS
K02257	heme o synthase [EC:2.5.1.141]	252	123.83	PS
K02259	heme a synthase [EC:1.17.99.9]	202	61.7	PS
K02392	flagellar basal-body rod protein FlgG	83	299.4	PS
K02401	flagellar biosynthesis protein FlhB	108	371.97	PS
K02405	RNA polymerase sigma factor FliA	162	182.9	PS
K02408	flagellar hook-basal body complex protein FliE	122	32.53	PS
K02409	flagellar M-ring protein FliF	125	128.67	PS
K02411	flagellar assembly protein FliH	83	74.5	PS
K02429	MFS transporter, FHS family, L-fucose permease	66	150	PS
K02472	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	11	459.93	PS
K02473	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]	7	438.4	PS
K02474	UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]	29	463.57	PS
K02483	two-component system, OmpR family, response regulator	1410	237.33	PS
K02484	two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	221	311.93	PS
K02494	outer membrane lipoprotein LolB	37	42.23	PS
K02498	HemY protein	47	128.83	PS
K02499	tetrapyrrole methylase family protein / MazG family protein	47	378.13	PS
K02501	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	190	238	PS
K02535	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	118	313.6	PS
K02536	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	149	180.23	PS
K02558	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]	70	379.27	PS
K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	212	186.43	PS
K02601	transcription termination/antitermination protein NusG	177	102.1	PS
K02613	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE	40	362.4	PS
K02624	IclR family transcriptional regulator, pca regulon regulatory protein	51	230.2	PS
K02840	UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]	2	258.53	PS
K02844	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]	17	212.63	PS
K02851	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]	130	229.97	PS
K02860	16S rRNA processing protein RimM	201	35.73	PS
K03013	DNA-directed RNA polymerases I, II, and III subunit RPABC1	1	106.4	PS
K03040	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	225	52.07	PS
K03041	DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]	13	1101	PS
K03042	DNA-directed RNA polymerase subunit A" [EC:2.7.7.6]	15	491.7	PS
K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	144	591.43	PS
K03046	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	153	973.97	PS
K03047	DNA-directed RNA polymerase subunit D [EC:2.7.7.6]	13	240.2	PS
K03048	DNA-directed RNA polymerase subunit delta	2	44.33	PS
K03049	DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]	15	176.47	PS
K03051	DNA-directed RNA polymerase subunit F [EC:2.7.7.6]	10	55.3	PS
K03053	DNA-directed RNA polymerase subunit H [EC:2.7.7.6]	3	96.17	PS
K03055	DNA-directed RNA polymerase subunit K [EC:2.7.7.6]	10	88.13	PS
K03058	DNA-directed RNA polymerase subunit N [EC:2.7.7.6]	6	100.93	PS
K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	191	22.03	PS
K03086	RNA polymerase primary sigma factor	166	457	PS
K03087	RNA polymerase nonessential primary-like sigma factor	12	418.3	PS
K03088	RNA polymerase sigma-70 factor, ECF subfamily	1711	97.23	PS
K03089	RNA polymerase sigma-32 factor	85	257.6	PS
K03090	RNA polymerase sigma-B factor	85	267.8	PS
K03091	RNA polymerase sigma-E/F/G factor	18	179.27	PS
K03092	RNA polymerase sigma-54 factor	151	80.47	PS
K03116	sec-independent protein translocase protein TatA	251	57.03	PS
