gene_id	name	product
COMDFGCF_00006	dcyD	D-cysteine desulfhydrase
COMDFGCF_00170	msrP	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
COMDFGCF_00199	efeU	Ferrous iron permease EfeU
COMDFGCF_00278	COMDFGCF_00278	Sulfurtransferase
COMDFGCF_00282	erpA	Iron-sulfur cluster insertion protein ErpA
COMDFGCF_00283	COMDFGCF_00283	Iron-sulfur cluster carrier protein
COMDFGCF_00296	ideR	Iron-dependent repressor IdeR
COMDFGCF_00372	baeB	putative polyketide biosynthesis zinc-dependent hydrolase BaeB
COMDFGCF_00413	sufS_1	Cysteine desulfurase
COMDFGCF_00547	ftsH_1	ATP-dependent zinc metalloprotease FtsH
COMDFGCF_00569	znuC	Zinc import ATP-binding protein ZnuC
COMDFGCF_00571	znuB	High-affinity zinc uptake system membrane protein ZnuB
COMDFGCF_00597	ricR	Copper-sensing transcriptional repressor RicR
COMDFGCF_00602	fdnH	Formate dehydrogenase%2C nitrate-inducible%2C iron-sulfur subunit
COMDFGCF_00739	ctpA	Copper-exporting P-type ATPase
COMDFGCF_00763	ssuD_1	Alkanesulfonate monooxygenase
COMDFGCF_00789	COMDFGCF_00789	Sulfurtransferase
COMDFGCF_00840	cysO_1	Sulfur carrier protein CysO
COMDFGCF_00912	ftsH_2	ATP-dependent zinc metalloprotease FtsH
COMDFGCF_00942	suyB	(2R)-sulfolactate sulfo-lyase subunit beta
COMDFGCF_00949	ssuC	Putative aliphatic sulfonates transport permease protein SsuC
COMDFGCF_01035	csd_1	putative cysteine desulfurase
COMDFGCF_01045	soxR	Redox-sensitive transcriptional activator SoxR
COMDFGCF_01056	sufS_2	Cysteine desulfurase SufS
COMDFGCF_01098	hsaC	Iron-dependent extradiol dioxygenase
COMDFGCF_01132	ssuD_2	Alkanesulfonate monooxygenase
COMDFGCF_01221	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
COMDFGCF_01249	nifH	Nitrogenase iron protein
COMDFGCF_01465	msrA	Peptide methionine sulfoxide reductase MsrA
COMDFGCF_01473	resA_1	Thiol-disulfide oxidoreductase ResA
COMDFGCF_01514	csd_2	putative cysteine desulfurase
COMDFGCF_01515	sufU	Zinc-dependent sulfurtransferase SufU
COMDFGCF_01582	COMDFGCF_01582	putative zinc protease
COMDFGCF_01702	cysD	Sulfate adenylyltransferase subunit 2
COMDFGCF_01703	cysH	Phosphoadenosine phosphosulfate reductase
COMDFGCF_01716	cysM	O-phosphoserine sulfhydrylase
COMDFGCF_01717	cysO_2	Sulfur carrier protein CysO
COMDFGCF_01741	msrB	Peptide methionine sulfoxide reductase MsrB
COMDFGCF_01850	fccB	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
COMDFGCF_01929	sauT	putative sulfoacetate--CoA ligase
COMDFGCF_01931	yitD	Phosphosulfolactate synthase
COMDFGCF_01967	mrp	Iron-sulfur cluster carrier protein
COMDFGCF_01968	salA	Iron-sulfur cluster carrier protein
COMDFGCF_01969	resA_2	Thiol-disulfide oxidoreductase ResA
COMDFGCF_01973	iscS	Cysteine desulfurase IscS
COMDFGCF_02219	stoA	Sporulation thiol-disulfide oxidoreductase A
COMDFGCF_02252	fadF	putative iron-sulfur-binding oxidoreductase FadF
COMDFGCF_02290	COMDFGCF_02290	Putative Rieske 2Fe-2S iron-sulfur protein/MSMEI_6242
COMDFGCF_02330	qcrA	Cytochrome bc1 complex Rieske iron-sulfur subunit
COMDFGCF_02390	COMDFGCF_02390	putative zinc-binding alcohol dehydrogenase
COMDFGCF_02573	sir	Sulfite reductase [ferredoxin]
COMDFGCF_02621	resA_3	Thiol-disulfide oxidoreductase ResA
COMDFGCF_02651	fdhD	Sulfur carrier protein FdhD
LDIKHCHK_00077	zur	Zinc uptake regulation protein
LDIKHCHK_00188	ftsH	ATP-dependent zinc metalloprotease FtsH
LDIKHCHK_00396	LDIKHCHK_00396	Iron-sulfur cluster carrier protein
LDIKHCHK_00538	cysA	Putative thiosulfate sulfurtransferase
LDIKHCHK_00646	msrA2	Peptide methionine sulfoxide reductase MsrA 2
LDIKHCHK_00672	yitD	Phosphosulfolactate synthase
LDIKHCHK_00729	LDIKHCHK_00729	putative zinc protease
LDIKHCHK_00781	pitA	L-methionine sulfoximine/L-methionine sulfone acetyltransferase
LDIKHCHK_00784	LDIKHCHK_00784	Sulfurtransferase
LDIKHCHK_00796	copZ	Copper chaperone CopZ
LDIKHCHK_00798	copA_1	Copper-exporting P-type ATPase
LDIKHCHK_00799	csoR	Copper-sensing transcriptional repressor CsoR
LDIKHCHK_00814	suyB	(2R)-sulfolactate sulfo-lyase subunit beta
LDIKHCHK_00845	dsbD	Thiol:disulfide interchange protein DsbD
LDIKHCHK_00852	msrP	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
LDIKHCHK_00963	mrp	Iron-sulfur cluster carrier protein
LDIKHCHK_01133	sauU	putative sulfoacetate transporter SauU
LDIKHCHK_01242	dsrE2	Sulfur carrier protein DsrE2
LDIKHCHK_01243	tusA	Sulfur carrier protein TusA
LDIKHCHK_01245	glpE	Thiosulfate sulfurtransferase GlpE
LDIKHCHK_01296	iscS	Cysteine desulfurase IscS
LDIKHCHK_01318	sufU	Zinc-dependent sulfurtransferase SufU
LDIKHCHK_01319	sufS	Cysteine desulfurase SufS
LDIKHCHK_01371	resA_1	Thiol-disulfide oxidoreductase ResA
LDIKHCHK_01378	petC	Cytochrome b6-f complex iron-sulfur subunit
LDIKHCHK_01388	copA_2	Copper-exporting P-type ATPase
LDIKHCHK_01492	LDIKHCHK_01492	Iron-sulfur cluster carrier protein
LDIKHCHK_01518	efeU	Ferrous iron permease EfeU
LDIKHCHK_01558	sauT	putative sulfoacetate--CoA ligase
LDIKHCHK_01615	LDIKHCHK_01615	O-acetyl-L-homoserine sulfhydrylase
LDIKHCHK_01626	fdhD	Sulfur carrier protein FdhD
LDIKHCHK_01646	resA_2	Thiol-disulfide oxidoreductase ResA
PGNLFDMH_00012	msrA3	Peptide methionine sulfoxide reductase MsrA 3
PGNLFDMH_00013	msrB	Peptide methionine sulfoxide reductase MsrB
PGNLFDMH_00018	dsbE	Thiol:disulfide interchange protein DsbE
PGNLFDMH_00056	metZ	O-succinylhomoserine sulfhydrylase
PGNLFDMH_00092	dsrE2	Sulfur carrier protein DsrE2
PGNLFDMH_00093	tusA_1	Sulfur carrier protein TusA
PGNLFDMH_00094	PGNLFDMH_00094	Sulfurtransferase
PGNLFDMH_00100	soxA	L-cysteine S-thiosulfotransferase subunit SoxA
PGNLFDMH_00141	tsdA	Thiosulfate dehydrogenase
PGNLFDMH_00170	tusA_2	Sulfur carrier protein TusA
PGNLFDMH_00171	fieF	Ferrous-iron efflux pump FieF
PGNLFDMH_00280	apbC	Iron-sulfur cluster carrier protein
PGNLFDMH_00443	sdhB	Succinate dehydrogenase iron-sulfur subunit
PGNLFDMH_00464	actP	Copper-transporting P-type ATPase
PGNLFDMH_00510	aprB	Adenylylsulfate reductase subunit beta
PGNLFDMH_00511	aprA	Adenylylsulfate reductase subunit alpha
PGNLFDMH_00650	soeC	Sulfite dehydrogenase subunit C
PGNLFDMH_00651	soeB	Sulfite dehydrogenase subunit B
PGNLFDMH_00652	soeA	Sulfite dehydrogenase subunit A
PGNLFDMH_00700	pacS	putative copper-transporting ATPase PacS
PGNLFDMH_00785	dsbD_1	Thiol:disulfide interchange protein DsbD
PGNLFDMH_00786	resA_1	Thiol-disulfide oxidoreductase ResA
PGNLFDMH_00798	dsbG	Thiol:disulfide interchange protein DsbG
PGNLFDMH_00893	tusA_3	Sulfur carrier protein TusA
PGNLFDMH_00901	sat	Sulfate adenylyltransferase
PGNLFDMH_01052	cyaY	Iron-sulfur cluster assembly protein CyaY
PGNLFDMH_01068	thiF	Sulfur carrier protein ThiS adenylyltransferase
PGNLFDMH_01130	erpA_1	Iron-sulfur cluster insertion protein ErpA
