bin	kingdom	phylum	class	order	family	genus	species	completeness	contamination	strain_heterogeneity	genome_size	contigs	N50	GC	predicted_genes	tRNA_types
SPAdes-MaxBin2Refined-S15.001_sub	Bacteria	Nitrospirota_A	Leptospirillia	Leptospirillales	Leptospirillaceae	JAJYGC01		91.5	1.82	0	2213177	103	47778	55.9	2158	19
SPAdes-MaxBin2Refined-S15.004_sub	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	JAKAYS01	JAKAYS01 sp021826695	48.04	0	0	1536348	133	46312	56.2	1436	16
SPAdes-MaxBin2Refined-S15.010	Bacteria	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Acidiferrobacter		97.76	17.11	0	3016849	280	53680	56.2	3149	22
SPAdes-MaxBin2Refined-S15.019_sub	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	JAJZVS01	JAJZVS01 sp021845555	91.58	1.74	75	4000234	410	18424	71	4028	19
SPAdes-MaxBin2Refined-S15.021_sub	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	JAKAAZ01		90.97	0.9	0	4448505	542	20597	57.1	4218	14
SPAdes-MaxBin2Refined-S15.026_sub	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	JAKAUB01		86.99	17.82	28.12	3562481	522	13143	62	3427	16
SPAdes-MaxBin2Refined-S15.033_sub	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylovirgula		96.71	2.74	23.08	3360968	200	49709	59.8	3258	19
SPAdes-MaxBin2Refined-S15.034_sub	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	CAJCIY01			95.63	3.96	0	3690127	217	71343	71.4	3671	20
SPAdes-MaxBin2Refined-S15.037_sub	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	JAKAYS01		82.09	3.28	22.22	3931237	437	22263	58.3	3705	12
SPAdes-MaxBin2Refined-S15.043_sub	Bacteria	Nitrospirota_A	Leptospirillia	Leptospirillales	Leptospirillaceae	JAJYGC01		90.02	1.82	0	2677136	125	48268	52.7	2722	14
SPAdes-MaxBin2Refined-S15.057_sub	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodopila		74.23	3.55	6.67	4727396	1820	3043	64.2	5894	18
SPAdes-MaxBin2Refined-S15.064_sub	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	83.47	13.31	10.78	5407411	2741	2120	40.3	7254	17
SPAdes-MaxBin2Refined-S15.065_sub	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium yanoikuyae	67.42	25.18	1.29	3847153	2392	1573	65.6	5638	16
SPAdes-MetaBAT2Refined-S15.11	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465		98.29	0.85	0	3760932	81	103636	71.6	3680	21
SPAdes-MetaBAT2Refined-S15.13	Bacteria	Firmicutes_E	Sulfobacillia	Sulfobacillales	Sulfobacillaceae			98	0	0	2596589	18	157812	61.7	2562	22
SPAdes-MetaBAT2Refined-S15.14	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales				91.38	3.85	0	2835268	69	99723	65.4	2747	18
SPAdes-MetaBAT2Refined-S15.15_sub	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisphaera		90.82	4.49	14.29	4982586	776	8864	68.9	5151	18
SPAdes-MetaBAT2Refined-S15.18	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	CAJCIY01			93.65	5.17	57.14	3191198	229	25205	75.4	3059	18
SPAdes-MetaBAT2Refined-S15.19	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	RAAP-2	RAAP-2		98.29	1.71	33.33	1990921	45	111030	63.2	2003	23
SPAdes-MetaBAT2Refined-S15.20	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	CAJCIY01			96.18	5.2	18.18	3372238	163	39168	71.1	3382	22
SPAdes-MetaBAT2Refined-S15.22	Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae			98.66	5.12	6.67	7691711	273	48833	70.6	7400	22
SPAdes-MetaBAT2Refined-S15.26	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Palsa-688	JAKCDU01		95.11	2.99	0	4142708	202	44149	70	4051	21
SPAdes-MetaBAT2Refined-S15.27	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E alloputida	80.53	8.96	47.62	6521314	1356	6450	61.6	6993	17
SPAdes-MetaBAT2Refined-S15.38	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae			95.64	1.72	100	3275966	66	71536	61	2696	15
SPAdes-MetaBAT2Refined-S15.42_sub	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	RAAP-2			97.86	18.8	51.85	4029715	241	66591	65.3	3982	20
SPAdes-MetaBAT2Refined-S15.44_sub	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	SCQM01		97.86	2.14	0	2733936	282	17518	52.2	2809	11
SPAdes-MetaBAT2Refined-S15.45	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	SCQM01		99.15	1.28	0	2856924	86	64787	49.3	2687	20
SPAdes-MetaBAT2Refined-S15.46	Bacteria	Firmicutes_E	JAJZYS01	JAJZYS01	JAJZYS01	JAJZYS01		92.08	0.83	0	3460218	115	66020	68.3	3305	23
SPAdes-MetaBAT2Refined-S15.49	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidithrix		98.72	1.28	0	2703949	149	29895	47.7	2459	22
SPAdes-MetaBAT2Refined-S15.5	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	SCQM01		98.29	1.28	0	2512672	64	68053	46	2341	11
SPAdes-MetaBAT2Refined-S15.50_sub	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	JAKAAZ01		91.02	1.92	0	3431825	395	13017	56.9	3318	9
SPAdes-MetaBAT2Refined-S15.51	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	JAJYZP01		99.15	1.28	0	2677984	22	202174	55.2	2584	22
SPAdes-MetaBAT2Refined-S15.56	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Jatrophihabitantaceae	QHCC01		96.38	4.04	30.77	3611718	63	110411	69.8	3582	22
SPAdes-MetaBAT2Refined-S15.57	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	CAJCIY01			92.54	2.01	50	3010495	219	21122	72.5	3069	14
SPAdes-MetaBAT2Refined-S15.6	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium		96.29	0.5	0	3326377	111	55308	66.2	3207	19
SPAdes-MetaBAT2Refined-S15.61	Bacteria	Firmicutes_E	JAJZYS01	JAJZYS01	JAJYTV01			89.75	1.82	66.67	2375080	248	15137	69.3	2464	17
SPAdes-MetaBAT2Refined-S15.62	Bacteria	Firmicutes_E	JAJZYS01	JAJZYS01	JAILZS01	JAILZS01		88.28	1.98	0	3011887	263	17201	73.8	2855	20
SPAdes-MetaBAT2Refined-S15.67	Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae			95.83	4.49	10	5505895	92	88602	70.8	5531	22
SPAdes-MetaBAT2Refined-S15.68	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bog-793	JAJZCK01		97.07	2.56	25	3322239	131	46316	71.8	3089	20
SPAdes-MetaBAT2Refined-S15.69	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	SCQM01		97.44	2.14	0	3153284	94	98873	48.4	3079	13
SPAdes-MetaBAT2Refined-S15.72	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae			98.29	1.28	0	2196639	98	41178	52	2149	18
SPAdes-MetaBAT2Refined-S15.73	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	JADGOV01			99.38	2.85	0	3388606	119	45101	70.9	3377	21
SPAdes-MetaBAT2Refined-S15.74	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	SCQM01		98.29	1.28	0	2266332	98	39137	48.3	2111	11
SPAdes-MetaBAT2Refined-S15.75	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	JAFKFJ01		94.91	0.66	0	4716702	399	16790	68.4	4791	19
