bin	marker_lineage	genomes	markers	marker_sets	completeness	contamination	strain_heterogeneity	genome_size	ambiguous_bases	scaffolds	contigs	N50_scaffolds	N50_contigs	mean_scaffold_length	mean_contig_length	longest_scaffold	longest_contig	gc	gc_std_scaffolds	coding_density	translation_table	predicted_genes	0	1	2	3	4	5+
SPAdes-MaxBin2-S1.001	root (UID1)	5656	56	24	0.00	0.00	0.00	154151	90	57	59	3112	3112	2704	2611	11699	11699	59.6	4.14	89.44	11	164	56	0	0	0	0	0
SPAdes-MaxBin2-S1.004	k__Bacteria (UID203)	5449	103	57	74.27	28.01	94.59	2051464	1110	270	282	13221	13123	7598	7270	55887	55887	57.0	3.01	90.69	11	2261	17	51	34	1	0	0
SPAdes-MaxBin2-S1.008	o__Rhodospirillales (UID3754)	63	336	201	99.13	38.77	0.00	5631372	1948	494	537	32023	31968	11399	10483	181523	181523	63.2	3.80	89.96	11	5594	13	213	103	7	0	0
SPAdes-MaxBin2-S1.013	k__Bacteria (UID203)	5449	104	58	70.69	0.00	0.00	3253727	1348	254	299	50038	46275	12809	10877	188074	188074	57.3	1.66	89.55	11	3375	57	47	0	0	0	0
SPAdes-MaxBin2-S1.016	k__Bacteria (UID203)	5449	104	58	100.00	30.80	13.43	6674726	1943	873	914	21311	20145	7645	7300	261429	261429	51.3	3.10	87.52	11	7609	0	47	52	5	0	0
SPAdes-MaxBin2-S1.018	o__Rhizobiales (UID3654)	92	481	319	98.12	14.09	12.79	4435362	2712	343	398	44707	34356	12931	11137	203497	172552	60.1	5.35	85.05	11	4341	6	414	53	5	3	0
SPAdes-MaxBin2-S1.019	k__Bacteria (UID2495)	2993	147	91	100.00	3.85	0.00	2653036	3492	637	753	7926	7543	4164	3518	35072	29530	40.4	5.11	84.96	11	2884	0	143	4	0	0	0
SPAdes-MaxBin2-S1.021	o__Rhodospirillales (UID3754)	63	336	201	70.94	34.84	2.05	7195540	28188	3988	5350	1766	1521	1804	1339	43558	33630	63.0	7.04	87.09	11	9941	105	141	68	18	4	0
SPAdes-MaxBin2-S15.002	k__Bacteria (UID1453)	901	171	117	99.15	2.29	0.00	2753164	2020	137	159	64787	51004	20096	17302	155150	155150	49.7	7.45	84.87	11	2619	1	165	5	0	0	0
SPAdes-MaxBin2-S15.003	o__Actinomycetales (UID1663)	488	309	185	8.23	0.00	0.00	381004	1344	134	154	4046	3126	2843	2465	43344	43344	69.2	3.73	86.82	11	465	255	54	0	0	0	0
SPAdes-MaxBin2-S15.004	k__Bacteria (UID3187)	2258	188	117	48.04	0.00	0.00	1765196	120	139	142	41665	41665	12699	12430	156422	156422	55.4	5.86	88.02	11	1655	92	96	0	0	0	0
SPAdes-MaxBin2-S15.006	k__Bacteria (UID3187)	2258	188	117	46.36	0.00	0.00	1976913	572	145	154	44315	44315	13633	12833	118973	118973	55.7	5.42	89.77	11	1805	107	81	0	0	0	0
SPAdes-MaxBin2-S15.008	root (UID1)	5656	56	24	4.17	0.00	0.00	519067	362	87	93	11469	10720	5966	5577	95279	95279	70.4	4.94	87.94	11	529	55	1	0	0	0	0
SPAdes-MaxBin2-S15.010	p__Proteobacteria (UID3880)	1495	261	164	97.76	17.11	0.00	3016849	1745	280	310	53680	47570	10774	9726	174976	149943	56.2	2.80	88.36	11	3149	6	224	29	2	0	0
SPAdes-MaxBin2-S15.013	k__Bacteria (UID203)	5449	104	58	22.41	0.00	0.00	1093772	1250	123	140	19893	18275	8892	7803	139688	51097	48.3	1.93	80.16	11	1107	88	16	0	0	0	0
SPAdes-MaxBin2-S15.014	o__Actinomycetales (UID1663)	488	309	185	10.65	0.54	0.00	675963	546	345	386	1810	1729	1959	1749	40338	40338	67.6	2.60	87.98	11	906	263	44	2	0	0	0
SPAdes-MaxBin2-S15.015	k__Bacteria (UID203)	5449	104	58	45.69	0.00	0.00	1872150	536	253	271	22437	22437	7399	6906	99848	99848	55.7	3.10	89.07	11	1835	69	35	0	0	0	0
SPAdes-MaxBin2-S15.016	k__Bacteria (UID1453)	901	171	117	98.29	2.14	33.33	2145331	400	72	76	75002	75002	29796	28222	442353	442353	63.2	2.97	91.46	11	2171	2	166	3	0	0	0
SPAdes-MaxBin2-S15.017	o__Actinomycetales (UID1590)	562	286	170	96.18	5.78	16.67	3631070	6840	243	315	36668	24718	14942	11505	210102	210102	71.0	2.38	89.67	11	3662	10	266	9	1	0	0
SPAdes-MaxBin2-S15.018	k__Bacteria (UID203)	5449	104	58	25.60	0.00	0.00	2541218	1569	425	448	13498	13230	5979	5668	76064	76064	54.0	3.61	86.87	11	2602	85	19	0	0	0	0
SPAdes-MaxBin2-S15.021	k__Bacteria (UID3187)	2258	188	117	90.97	0.90	0.00	4461180	2854	546	584	20597	16862	8170	7634	88814	82817	57.1	2.10	89.09	11	4230	18	168	2	0	0	0
SPAdes-MaxBin2-S15.022	root (UID1)	5656	56	24	4.17	0.00	0.00	1334984	1409	325	343	9919	9720	4107	3887	46368	46368	51.2	3.81	84.67	11	1505	55	1	0	0	0	0
SPAdes-MaxBin2-S15.024	k__Bacteria (UID203)	5449	104	58	98.12	9.25	100.00	3859501	3444	220	258	80416	38362	17543	14945	242969	216582	65.5	2.37	90.29	11	3881	2	77	25	0	0	0
SPAdes-MaxBin2-S15.025	k__Bacteria (UID1453)	901	171	117	97.07	5.30	11.11	3277397	9574	161	259	46316	24693	20356	12617	175462	139863	71.9	2.01	87.96	11	3076	6	156	9	0	0	0
SPAdes-MaxBin2-S15.026	k__Bacteria (UID3187)	2258	188	117	86.99	17.82	28.12	3635127	4542	532	586	13324	11054	6832	6195	84762	84762	62.0	2.40	89.21	11	3505	20	142	23	3	0	0
SPAdes-MaxBin2-S15.028	p__Firmicutes (UID239)	1324	170	100	98.00	1.00	0.00	2743359	330	86	92	154683	154683	31899	29815	532908	532908	61.7	1.98	88.44	11	2749	2	167	1	0	0	0
SPAdes-MaxBin2-S15.029	k__Bacteria (UID3187)	2258	188	117	70.00	18.95	14.81	3112857	967	488	520	10876	10193	6378	5984	41931	40075	57.8	1.59	90.17	11	3054	67	94	27	0	0	0
SPAdes-MaxBin2-S15.030	k__Bacteria (UID3187)	2258	188	117	36.99	7.79	27.27	6438641	4175	1085	1172	11535	10860	5934	5490	100999	100999	54.6	2.49	87.15	11	6598	121	56	11	0	0	0
SPAdes-MaxBin2-S15.033	o__Rhizobiales (UID3654)	92	481	319	96.71	3.05	21.43	3466767	7282	202	279	49709	29546	17162	12399	174381	151642	59.9	1.81	84.36	11	3369	13	454	14	0	0	0
SPAdes-MaxBin2-S15.035	k__Bacteria (UID3187)	2258	187	116	82.49	13.75	35.00	2944264	772	154	165	66258	66258	19118	17839	242416	242416	61.4	1.38	89.63	11	2509	29	138	20	0	0	0
SPAdes-MaxBin2-S15.038	k__Bacteria (UID1453)	901	171	117	98.29	3.85	35.71	3320266	2734	378	416	22236	19902	8783	7974	128829	113254	52.3	1.53	85.40	11	3454	2	155	14	0	0	0
SPAdes-MaxBin2-S15.040	k__Bacteria (UID203)	5449	104	58	91.38	17.15	40.62	6798391	5941	849	932	29368	22595	8007	7288	226534	125458	66.4	1.96	87.40	11	7323	5	73	23	3	0	0
SPAdes-MaxBin2-S15.041	root (UID1)	5656	56	24	0.00	0.00	0.00	130158	0	30	30	6591	6591	4338	4338	16625	16625	44.8	1.47	79.24	11	136	56	0	0	0	0	0
SPAdes-MaxBin2-S15.042	k__Bacteria (UID3187)	2258	187	116	66.16	6.84	5.88	5595926	4315	2388	2659	2461	2309	2343	2102	103577	79714	59.8	2.55	87.22	11	6840	63	107	17	0	0	0
SPAdes-MaxBin2-S15.044	o__Actinomycetales (UID1696)	455	311	187	99.38	10.24	7.14	4193491	2797	365	413	38202	34330	11489	10146	151507	151507	70.8	1.60	90.36	11	4317	3	270	36	2	0	0
SPAdes-MaxBin2-S15.045	k__Bacteria (UID203)	5449	104	58	77.18	28.45	15.00	4820642	18814	1146	1399	11441	8040	4206	3432	107292	83320	72.9	1.77	88.98	11	5551	46	40	17	1	0	0
SPAdes-MaxBin2-S15.049	k__Bacteria (UID1453)	901	171	117	76.40	3.42	16.67	1866570	2785	249	299	19507	16198	7496	6233	59237	59237	65.3	2.93	91.55	11	1966	58	107	6	0	0	0
SPAdes-MaxBin2-S15.051	k__Bacteria (UID203)	5449	103	58	64.69	25.16	21.31	3607986	2709	1480	1654	2677	2459	2437	2179	44628	44628	66.6	1.89	86.21	11	4675	27	39	25	12	0	0
SPAdes-MaxBin2-S15.053	k__Bacteria (UID203)	5449	104	58	82.03	38.56	14.29	21057525	7153	2509	2710	14339	13484	8392	7767	138229	138229	52.8	1.57	80.66	4	26751	13	54	17	13	7	0
