rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_202_length_104438_cov_14.017551	1	104438	22133	104438	100	23.9985	35.9	46.5
NODE_253_length_93661_cov_11.481315	1	93661	23252	93661	100	26.7084	35.9	47.1
NODE_266_length_91443_cov_12.051659	1	91443	12362	91398	99.9508	16.4662	35.8	49
NODE_478_length_69682_cov_12.289801	1	69682	14036	69682	100	21.7539	35.9	45.8
NODE_678_length_59084_cov_13.064511	1	59084	9769	59084	100	19.7371	35.8	50.5
NODE_727_length_56583_cov_11.551514	1	56583	5810	56583	100	14.1484	35.8	56.8
NODE_738_length_56238_cov_11.633021	1	56238	12269	56237	99.9982	24.2464	35.9	42.1
NODE_768_length_54831_cov_12.696199	1	54831	9097	54831	100	19.5278	35.9	45.4
NODE_802_length_53135_cov_11.667370	1	53135	7707	53135	100	17.8253	35.8	50.6
NODE_862_length_50759_cov_13.315971	1	50759	7095	50759	100	17.8416	35.9	51.2
NODE_930_length_48351_cov_11.573526	1	48351	4863	48351	100	13.8025	35.8	53.4
NODE_947_length_47651_cov_12.795781	1	47651	12488	47651	100	27.6941	35.9	45
NODE_967_length_47200_cov_12.526694	1	47200	7432	47200	100	19.1373	35.8	49.1
NODE_1136_length_42488_cov_10.855867	1	42488	3895	42488	100	13.063	35.8	57.6
NODE_1202_length_41007_cov_13.219086	1	41007	4475	41007	100	15.7662	35.8	58.7
NODE_1255_length_39924_cov_11.393639	1	39924	15438	39782	99.6443	46.0259	35.9	50.8
NODE_1303_length_39032_cov_13.395874	1	39032	8925	39032	100	24.7046	35.9	49.6
NODE_1319_length_38569_cov_14.739783	1	38569	18773	38471	99.7459	40.7654	35.9	40.1
NODE_1323_length_38467_cov_14.344346	1	38467	8941	38463	99.9896	24.291	35.8	50.3
NODE_1472_length_35486_cov_12.198216	1	35486	6126	35486	100	22.0643	35.8	44.2
NODE_1511_length_34811_cov_10.885027	1	34811	7200	34811	100	20.1312	35.9	42.9
NODE_1607_length_33697_cov_10.653944	1	33697	10530	33697	100	31.9096	35.9	39.7
NODE_1617_length_33650_cov_13.261557	1	33650	6460	33650	100	23.3704	35.8	51.4
NODE_1651_length_33249_cov_13.810086	1	33249	9171	33249	100	32.3662	35.8	45.3
NODE_1727_length_32323_cov_13.510320	1	32323	3530	32323	100	15.8129	35.9	59.2
NODE_1770_length_31739_cov_11.635021	1	31739	3781	31739	100	16.0371	35.8	52
NODE_1793_length_31418_cov_12.175908	1	31418	3305	31418	100	14.687	35.8	56.1
NODE_1852_length_30653_cov_14.013628	1	30653	5363	30653	100	20.3021	35.7	49.8
NODE_1871_length_30499_cov_11.997569	1	30499	7503	30499	100	27.2225	35.8	35.6
NODE_1957_length_29432_cov_13.941349	1	29432	11478	29432	100	42.2371	35.9	39.8
NODE_1980_length_29143_cov_12.289913	1	29143	4723	29143	100	20.6733	35.8	48.5
NODE_2043_length_28464_cov_11.372171	1	28464	4022	28367	99.6592	15.4329	35.9	52.3
NODE_2063_length_28307_cov_14.791448	1	28307	17613	28307	100	62.1436	35.9	39.3
NODE_2078_length_28200_cov_11.961450	1	28200	3130	28101	99.6489	14.8398	35.8	55.2
NODE_2080_length_28183_cov_12.133675	1	28183	5065	28183	100	22.8992	35.8	47.6
NODE_2103_length_27988_cov_11.020155	1	27988	6695	27988	100	27.9886	35.8	42.3
NODE_2150_length_27597_cov_11.472478	1	27597	5099	27597	100	18.523	35.8	52.4
NODE_2187_length_27233_cov_12.529288	1	27233	4085	27233	100	19.5833	35.8	53.9
NODE_2217_length_26943_cov_11.863619	1	26943	11280	26943	100	33.6567	36	46.2
NODE_2222_length_26918_cov_13.391133	1	26918	3132	26918	100	16.1199	35.9	56
NODE_2230_length_26814_cov_13.936246	1	26814	3821	26814	100	19.6644	35.8	55.6
NODE_2406_length_25369_cov_12.248835	1	25369	5573	25369	100	23.1341	35.9	42.2
NODE_2413_length_25310_cov_13.542784	1	25310	5220	25310	100	26.9383	35.9	46.5
NODE_2453_length_24961_cov_11.680639	1	24961	5902	24861	99.5994	21.8957	35.9	45.7
NODE_2593_length_23973_cov_14.149051	1	23973	3592	23968	99.9791	19.0453	35.8	50.5
NODE_2606_length_23914_cov_13.450648	1	23914	5262	23885	99.8787	25.6277	35.8	40.9
