phylum	bin	snps	dnds_sum	dnds_glob
Acidobacteriota	SPAdes-MaxBin2Refined-S15.004_sub	900	263.492822129014	0.292769802365571
Acidobacteriota	SPAdes-MaxBin2Refined-S15.021_sub	1783	608.48809396613	0.341272066161598
Acidobacteriota	SPAdes-MaxBin2Refined-S15.026_sub	1474	385.561366141511	0.261574875265611
Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	1838	558.405674618227	0.303811574873899
Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	697	119.605508913248	0.171600443204086
Acidobacteriota	SPAdes-MetaBAT2Refined-S15.50_sub	1008	342.098239416329	0.339383174024136
Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	1185	406.792595138539	0.34328489041227
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.11	2191	718.191318710503	0.327791564906665
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.14	833	224.879893480439	0.269963857719614
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	1846	637.010649775154	0.345076191644179
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	155	35.5020180604655	0.229045277809455
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	1787	532.545733855998	0.298011043008393
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	236	48.7860466202245	0.206720536526375
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.26	1907	557.152358398066	0.292161698163642
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	497	180.433911476649	0.363046099550601
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.44_sub	406	126.925039895984	0.312623250975329
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	1277	478.458171131913	0.374673587417316
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.49	766	252.570729059107	0.32972680033826
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.5	131	40.348584762974	0.308004463839496
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.51	879	240.560539262592	0.273675243757215
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	1163	274.832685415034	0.236313573013787
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.57	1035	298.194073592295	0.288110216031202
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	1082	296.524953554705	0.2740526372964
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.69	228	91.8708940576614	0.402942517796761
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.72	584	191.054920324466	0.32714883617203
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.73	253	82.0718374794396	0.32439461454324
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.74	1251	383.086547401034	0.306224258514016
Dormibacterota	SPAdes-MetaBAT2Refined-S15.67	124	31.6834655908913	0.255511819281382
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.13	302	82.8261230534501	0.274258685607451
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.46	242	85.0585796938014	0.351481734271907
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.61	365	98.5633154946697	0.270036480807314
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.62	339	68.2958158227356	0.201462583547893
Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	1252	469.20198990702	0.374761972769185
Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	173	72.3719749374882	0.418335115245597
Proteobacteria	SPAdes-MaxBin2Refined-S15.010	1615	510.100297790499	0.315851577579256
Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	2518	640.74645597906	0.254466424137832
Proteobacteria	SPAdes-MaxBin2Refined-S15.033_sub	1284	406.990309329106	0.316970645894942
Proteobacteria	SPAdes-MaxBin2Refined-S15.057_sub	120	42.2158088972786	0.351798407477322
Proteobacteria	SPAdes-MaxBin2Refined-S15.064_sub	175	91.6945153854876	0.523968659345644
Proteobacteria	SPAdes-MaxBin2Refined-S15.065_sub	167	50.7566534930569	0.303932056844652
Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	195	71.2437887339835	0.365352762738377
Proteobacteria	SPAdes-MetaBAT2Refined-S15.27	547	172.487905460942	0.31533437927046
Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	2300	542.108964264474	0.235699549680206
Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	328	71.4031094397503	0.217692406828507
