chrom	length	bases	mean	min	max
NODE_90_length_143024_cov_286.559562	143024	46113889	322.42	0	422
NODE_188_length_107879_cov_294.623173	107879	36098928	334.62	0	432
NODE_199_length_105056_cov_295.007352	105056	35110751	334.21	0	435
NODE_208_length_103116_cov_288.431143	103116	33605125	325.90	0	417
NODE_456_length_71474_cov_295.800305	71474	24055454	336.56	86	1034
NODE_477_length_69892_cov_305.716583	69892	24036630	343.91	201	445
NODE_551_length_64935_cov_302.646825	64935	22692436	349.46	70	2342
NODE_562_length_64552_cov_305.711397	64552	22203568	343.96	0	433
NODE_582_length_63671_cov_258.615050	63671	18710462	293.86	69	464
NODE_701_length_57699_cov_302.037124	57699	19617697	340.00	79	428
NODE_732_length_56446_cov_287.734780	56446	18541746	328.49	110	1449
NODE_778_length_54424_cov_307.443341	54424	18829512	345.98	185	446
NODE_797_length_53478_cov_299.215993	53478	18055423	337.62	0	448
NODE_892_length_49404_cov_317.587286	49404	17573772	355.72	125	479
NODE_943_length_47778_cov_308.817866	47778	16541187	346.21	143	432
NODE_974_length_47061_cov_240.579692	47061	13015463	276.57	65	537
NODE_988_length_46802_cov_299.273194	46802	15784657	337.26	152	429
NODE_1097_length_43652_cov_310.983852	43652	15179399	347.74	204	499
NODE_1111_length_43215_cov_300.995436	43215	14693585	340.01	0	623
NODE_1155_length_42002_cov_314.302215	42002	14739896	350.93	87	445
NODE_1229_length_40385_cov_278.827647	40385	12849991	318.19	64	416
NODE_1239_length_40143_cov_283.964204	40143	12980888	323.37	136	2014
NODE_1257_length_39913_cov_302.405791	39913	13387022	335.41	60	444
NODE_1759_length_31969_cov_313.363696	31969	11108056	347.46	83	522
NODE_1804_length_31341_cov_296.764591	31341	10472277	334.14	0	418
NODE_1860_length_30571_cov_302.721916	30571	10430771	341.20	100	427
NODE_1875_length_30457_cov_296.489672	30457	10108709	331.90	63	498
NODE_1878_length_30428_cov_309.729793	30428	10601857	348.42	89	460
NODE_2072_length_28219_cov_295.680230	28219	9390895	332.79	160	428
NODE_2221_length_26921_cov_292.149371	26921	8872625	329.58	112	408
NODE_2348_length_25777_cov_286.392543	25777	8425314	326.85	58	486
NODE_2937_length_21975_cov_293.763869	21975	7413774	337.37	188	639
NODE_2945_length_21895_cov_301.663599	21895	7406379	338.27	34	436
NODE_3139_length_20649_cov_274.090657	20649	6426930	311.25	167	396
NODE_3333_length_19630_cov_290.166590	19630	6409622	326.52	209	404
NODE_3421_length_19246_cov_293.951227	19246	6377531	331.37	179	413
NODE_3507_length_18896_cov_308.414150	18896	6598541	349.20	22	527
NODE_3740_length_17982_cov_296.889552	17982	5998737	333.60	247	415
NODE_3824_length_17640_cov_311.898266	17640	6194838	351.18	222	423
NODE_4105_length_16631_cov_306.540722	16631	5804285	349.00	101	908
NODE_4299_length_15918_cov_312.122612	15918	5592862	351.35	203	687
NODE_4355_length_15728_cov_298.624067	15728	5280055	335.71	111	427
NODE_4634_length_14962_cov_287.354129	14962	4833739	323.07	91	384
NODE_4825_length_14412_cov_160.671449	14412	3577016	248.20	92	493
NODE_5059_length_13823_cov_279.204532	13823	4334872	313.60	66	393
NODE_5179_length_13543_cov_305.361136	13543	4655502	343.76	196	472
NODE_5341_length_13172_cov_307.579096	13172	4544276	345.00	168	410
NODE_5417_length_13010_cov_279.265843	13010	4165279	320.16	216	482
NODE_5639_length_12577_cov_305.727919	12577	4283049	340.55	95	407
NODE_6063_length_11709_cov_299.671100	11709	3951641	337.49	99	492
NODE_6110_length_11623_cov_288.722683	11623	3790704	326.14	229	404
NODE_6761_length_10484_cov_303.908333	10484	3567336	340.26	122	413
NODE_7095_length_9959_cov_316.875101	9959	3503166	351.76	139	448
NODE_7626_length_9227_cov_314.352377	9227	3216467	348.59	135	437
NODE_7683_length_9156_cov_290.142402	9156	2973038	324.71	191	408
NODE_7685_length_9153_cov_322.660145	9153	3278070	358.14	219	440
NODE_7779_length_9045_cov_297.882981	9045	3042234	336.34	192	412
NODE_7790_length_9027_cov_292.135421	9027	2965887	328.56	196	409
NODE_8145_length_8589_cov_302.565034	8589	2932835	341.46	113	416
NODE_9238_length_7429_cov_319.800922	7429	2650766	356.81	150	446
NODE_10401_length_6489_cov_294.591389	6489	2132397	328.62	0	405
NODE_10920_length_6126_cov_269.190578	6126	1881667	307.16	92	619
NODE_11141_length_5982_cov_287.348912	5982	1930549	322.73	130	380
NODE_11477_length_5771_cov_310.355668	5771	1998699	346.33	234	422
NODE_11664_length_5665_cov_316.883957	5665	1979414	349.41	156	413
NODE_13434_length_4827_cov_1318.202850	4827	7121498	1475.35	788	1964
NODE_15506_length_4107_cov_295.103899	4107	1350895	328.93	72	386
NODE_15516_length_4104_cov_227.947394	4104	1168171	284.64	62	603
NODE_15696_length_4048_cov_323.588530	4048	1436037	354.75	210	450
NODE_16387_length_3873_cov_288.567313	3873	1252773	323.46	186	415
NODE_18730_length_3373_cov_287.164256	3373	1089874	323.12	211	392
NODE_19313_length_3277_cov_1286.986344	3277	4882951	1490.07	561	1799
NODE_19863_length_3188_cov_1546.726460	3188	5497039	1724.29	136	2041
NODE_21101_length_3011_cov_335.805142	3011	1239740	411.74	94	763
NODE_23975_length_2681_cov_302.935263	2681	899421	335.48	229	387
NODE_24051_length_2673_cov_291.837662	2673	877796	328.39	159	395
NODE_24390_length_2638_cov_105.576849	2638	299690	113.61	56	162
NODE_25359_length_2544_cov_279.346324	2544	811921	319.15	149	386
NODE_25796_length_2506_cov_246.731130	2506	846660	337.85	147	407
NODE_25978_length_2491_cov_1540.540640	2491	3944664	1583.57	71	1901
NODE_26860_length_2408_cov_1393.499363	2408	3674968	1526.15	560	1680
NODE_28985_length_2247_cov_269.620894	2247	670595	298.44	75	391
NODE_30286_length_2161_cov_3.886040	2161	12716	5.88	1	33
NODE_35216_length_1885_cov_325.477049	1885	655767	347.89	163	425
NODE_37668_length_1776_cov_3.557234	1776	7350	4.14	1	24
NODE_39125_length_1717_cov_1308.115523	1717	2816708	1640.48	1324	2319
NODE_39500_length_1703_cov_721.388956	1703	1340175	786.95	453	886
NODE_40967_length_1648_cov_247.372254	1648	467588	283.73	151	364
NODE_43267_length_1569_cov_1296.507926	1569	2643942	1685.11	1054	2755
NODE_44261_length_1538_cov_324.701955	1538	541386	352.01	232	436
NODE_46742_length_1468_cov_947.784855	1468	1476851	1006.03	527	1126
NODE_47055_length_1459_cov_520.610399	1459	849325	582.13	500	724
NODE_47865_length_1435_cov_194.124638	1435	287205	200.14	122	234
NODE_48498_length_1418_cov_31.962583	1418	55277	38.98	22	55
NODE_53351_length_1303_cov_19.192308	1303	29616	22.73	11	38
NODE_54873_length_1270_cov_1300.199177	1270	1720193	1354.48	431	1631
NODE_56283_length_1241_cov_319.042159	1241	432077	348.17	162	393
NODE_57542_length_1217_cov_1825.148021	1217	2403964	1975.32	522	2237
NODE_59899_length_1174_cov_1258.633601	1174	1716953	1462.48	283	2166
NODE_61336_length_1149_cov_1431.253199	1149	1970353	1714.84	445	2139
NODE_62692_length_1126_cov_334.779645	1126	365840	324.90	128	392
NODE_66794_length_1061_cov_397.403579	1061	456733	430.47	17	702
NODE_67184_length_1056_cov_1516.229770	1056	1682439	1593.22	934	1760
NODE_63_length_156422_cov_796.297454	156422	149847651	957.97	243	2691
NODE_343_length_81482_cov_847.301374	81482	76110216	934.07	214	1367
NODE_373_length_78480_cov_796.446261	78480	75601847	963.33	386	1232
NODE_469_length_70678_cov_823.482407	70678	68305086	966.43	293	3136
NODE_513_length_67177_cov_752.625875	67177	58027937	863.81	320	4871
NODE_669_length_59400_cov_814.948505	59400	57763399	972.45	279	1639
NODE_699_length_57736_cov_801.664742	57736	55994583	969.84	280	1730
