contig	bin
NODE_107_length_132777_cov_300.833743	SPAdes-MetaBAT2Refined-S15.51
NODE_11205_length_5946_cov_314.208963	SPAdes-MetaBAT2Refined-S15.51
NODE_11261_length_5907_cov_198.661996	SPAdes-MetaBAT2Refined-S15.51
NODE_114_length_129463_cov_314.106879	SPAdes-MetaBAT2Refined-S15.51
NODE_13362_length_4860_cov_460.939646	SPAdes-MetaBAT2Refined-S15.51
NODE_13_length_249954_cov_311.716345	SPAdes-MetaBAT2Refined-S15.51
NODE_16609_length_3819_cov_438.987779	SPAdes-MetaBAT2Refined-S15.51
NODE_1851_length_30675_cov_328.583377	SPAdes-MetaBAT2Refined-S15.51
NODE_23_length_219780_cov_328.776038	SPAdes-MetaBAT2Refined-S15.51
NODE_244_length_95244_cov_332.425186	SPAdes-MetaBAT2Refined-S15.51
NODE_28_length_202174_cov_316.413969	SPAdes-MetaBAT2Refined-S15.51
NODE_323_length_83633_cov_332.388404	SPAdes-MetaBAT2Refined-S15.51
NODE_39_length_177918_cov_311.852055	SPAdes-MetaBAT2Refined-S15.51
NODE_42382_length_1599_cov_242.292098	SPAdes-MetaBAT2Refined-S15.51
NODE_450_length_71748_cov_321.186504	SPAdes-MetaBAT2Refined-S15.51
NODE_45_length_175928_cov_315.079899	SPAdes-MetaBAT2Refined-S15.51
NODE_4613_length_15043_cov_316.948359	SPAdes-MetaBAT2Refined-S15.51
NODE_4_length_380160_cov_317.586719	SPAdes-MetaBAT2Refined-S15.51
NODE_516_length_66702_cov_315.003781	SPAdes-MetaBAT2Refined-S15.51
NODE_64_length_156419_cov_318.360882	SPAdes-MetaBAT2Refined-S15.51
NODE_6_length_315668_cov_325.304740	SPAdes-MetaBAT2Refined-S15.51
NODE_72_length_152567_cov_318.877315	SPAdes-MetaBAT2Refined-S15.51
NODE_1035_length_45101_cov_12.039471	SPAdes-MetaBAT2Refined-S15.73
NODE_10541_length_6410_cov_13.366798	SPAdes-MetaBAT2Refined-S15.73
NODE_10935_length_6113_cov_13.727963	SPAdes-MetaBAT2Refined-S15.73
NODE_1145_length_42274_cov_12.717142	SPAdes-MetaBAT2Refined-S15.73
NODE_1173_length_41576_cov_12.124274	SPAdes-MetaBAT2Refined-S15.73
NODE_1181_length_41499_cov_12.061360	SPAdes-MetaBAT2Refined-S15.73
NODE_11845_length_5563_cov_10.617284	SPAdes-MetaBAT2Refined-S15.73
NODE_11936_length_5511_cov_13.612537	SPAdes-MetaBAT2Refined-S15.73
NODE_12164_length_5397_cov_13.324598	SPAdes-MetaBAT2Refined-S15.73
NODE_1216_length_40673_cov_12.551726	SPAdes-MetaBAT2Refined-S15.73
NODE_1228_length_40486_cov_12.293117	SPAdes-MetaBAT2Refined-S15.73
NODE_12365_length_5284_cov_10.057564	SPAdes-MetaBAT2Refined-S15.73
NODE_12445_length_5247_cov_11.437982	SPAdes-MetaBAT2Refined-S15.73
NODE_12547_length_5198_cov_12.901808	SPAdes-MetaBAT2Refined-S15.73
NODE_12833_length_5081_cov_12.178074	SPAdes-MetaBAT2Refined-S15.73
NODE_13034_length_4991_cov_12.324149	SPAdes-MetaBAT2Refined-S15.73
NODE_1307_length_38892_cov_11.599892	SPAdes-MetaBAT2Refined-S15.73
NODE_1311_length_38869_cov_11.263694	SPAdes-MetaBAT2Refined-S15.73
NODE_1331_length_38202_cov_13.279917	SPAdes-MetaBAT2Refined-S15.73
NODE_13455_length_4814_cov_12.928977	SPAdes-MetaBAT2Refined-S15.73
NODE_1353_length_37881_cov_12.644319	SPAdes-MetaBAT2Refined-S15.73
NODE_13737_length_4699_cov_12.936047	SPAdes-MetaBAT2Refined-S15.73
NODE_13784_length_4683_cov_14.374892	SPAdes-MetaBAT2Refined-S15.73
