bin	phylum	dnds_is98	dnds_is97
SPAdes-MaxBin2Refined-S15.004_sub	Acidobacteriota	0.750211719086963	0.49229596469742
SPAdes-MaxBin2Refined-S15.021_sub	Acidobacteriota	0.771169893943465	0.530010685184085
SPAdes-MaxBin2Refined-S15.026_sub	Acidobacteriota	0.516841368673056	0.36144316484478
SPAdes-MaxBin2Refined-S15.037_sub	Acidobacteriota	0.614315615020411	0.44393774903762
SPAdes-MetaBAT2Refined-S15.38	Acidobacteriota	0.308545834966259	0.226583236793163
SPAdes-MetaBAT2Refined-S15.50_sub	Acidobacteriota	0.638618982383682	0.475118089980723
SPAdes-MaxBin2Refined-S15.034_sub	Actinobacteriota	0.704635678784751	0.531406176825565
SPAdes-MetaBAT2Refined-S15.11	Actinobacteriota	0.819631651954923	0.568558987273975
SPAdes-MetaBAT2Refined-S15.14	Actinobacteriota	0.714245662361126	0.476014937366613
SPAdes-MetaBAT2Refined-S15.18	Actinobacteriota	0.725080794068886	0.53635328505558
SPAdes-MetaBAT2Refined-S15.19	Actinobacteriota	0.558686005772338	0.472270046524152
SPAdes-MetaBAT2Refined-S15.20	Actinobacteriota	0.809026982362855	0.54939404647496
SPAdes-MetaBAT2Refined-S15.22	Actinobacteriota	0.421608211576736	0.289167715160884
SPAdes-MetaBAT2Refined-S15.26	Actinobacteriota	0.76222763606944	0.515998237425591
SPAdes-MetaBAT2Refined-S15.42_sub	Actinobacteriota	0.847537769177637	0.567472777837807
SPAdes-MetaBAT2Refined-S15.44_sub	Actinobacteriota	0.674961127807505	0.506146526430655
SPAdes-MetaBAT2Refined-S15.45	Actinobacteriota	0.959962628861364	0.655917384065087
SPAdes-MetaBAT2Refined-S15.49	Actinobacteriota	0.799528445421491	0.550287435245728
SPAdes-MetaBAT2Refined-S15.5	Actinobacteriota	0.724264461435325	0.473216437712274
SPAdes-MetaBAT2Refined-S15.51	Actinobacteriota	0.745196915292737	0.486646857599775
SPAdes-MetaBAT2Refined-S15.56	Actinobacteriota	0.584844789732316	0.394790158801444
SPAdes-MetaBAT2Refined-S15.57	Actinobacteriota	0.736724693158709	0.499881559039784
SPAdes-MetaBAT2Refined-S15.68	Actinobacteriota	0.732209254041349	0.507250130124142
SPAdes-MetaBAT2Refined-S15.69	Actinobacteriota	0.954749825202878	0.619543539059306
SPAdes-MetaBAT2Refined-S15.72	Actinobacteriota	0.792644377245875	0.528375030510828
SPAdes-MetaBAT2Refined-S15.73	Actinobacteriota	0.828371252586133	0.535785864387653
SPAdes-MetaBAT2Refined-S15.74	Actinobacteriota	0.658352006404648	0.484529757132338
SPAdes-MaxBin2Refined-S15.010	Proteobacteria	0.668863032714853	0.502603319700647
SPAdes-MaxBin2Refined-S15.019_sub	Proteobacteria	0.639462269612533	0.377181845764642
SPAdes-MaxBin2Refined-S15.033_sub	Proteobacteria	0.718418206332235	0.502448801280747
SPAdes-MaxBin2Refined-S15.057_sub	Proteobacteria	0.878581454675003	0.596030597009138
SPAdes-MaxBin2Refined-S15.064_sub	Proteobacteria	1.0323669163919	0.802177799087539
SPAdes-MaxBin2Refined-S15.065_sub	Proteobacteria	0.673282286005917	0.489050132643292
SPAdes-MetaBAT2Refined-S15.15_sub	Proteobacteria	0.92186513379666	0.543765075573236
SPAdes-MetaBAT2Refined-S15.27	Proteobacteria	0.664588950682645	0.500971994765114
SPAdes-MetaBAT2Refined-S15.6	Proteobacteria	0.555976573831572	0.387520529797179
SPAdes-MetaBAT2Refined-S15.75	Proteobacteria	0.566576207162154	0.379796841860133
