gene_id	name	product	n_syn	n_mis	n_non	wmis_cv	pmis_cv	sample	contig	bin	phylum	contamination	pathway
COMDFGCF_01850	fccB	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	7	3	0	0.153304570813638	0.00583418167358052	S17	NODE_17574_length_4957_cov_3.647899	SPAdes-MetaBAT2Refined-S2.67_sub	Actinobacteriota	3.85	Sulfur
COMDFGCF_01967	mrp	Iron-sulfur cluster carrier protein	0	1	0	0.687228366543322	0.689098066969389	S17	NODE_20849_length_4324_cov_3.719606	SPAdes-MetaBAT2Refined-S2.67_sub	Actinobacteriota	3.85	Iron
LDIKHCHK_00538	cysA	Putative thiosulfate sulfurtransferase	20	10	1	0.179508047024068	5.76839787658212e-06	S2	NODE_44_length_197084_cov_325.359013	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Sulfur
LDIKHCHK_00538	cysA	Putative thiosulfate sulfurtransferase	21	11	1	0.18613139639852	4.31792159005795e-06	S3	NODE_44_length_197084_cov_325.359013	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Sulfur
LDIKHCHK_00538	cysA	Putative thiosulfate sulfurtransferase	15	8	1	0.194650917990532	0.000159385220423247	S17	NODE_44_length_197084_cov_325.359013	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Sulfur
LDIKHCHK_00672	yitD	Phosphosulfolactate synthase	4	1	0	0.114830497478143	0.0246420269154447	S17	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Sulfur
LDIKHCHK_00781	pitA	L-methionine sulfoximine/L-methionine sulfone acetyltransferase	5	1	0	0.100031062480632	0.0167402543450273	S2	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Sulfur
LDIKHCHK_00781	pitA	L-methionine sulfoximine/L-methionine sulfone acetyltransferase	6	2	0	0.160049557587975	0.0187351323113202	S3	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Sulfur
LDIKHCHK_00781	pitA	L-methionine sulfoximine/L-methionine sulfone acetyltransferase	5	1	0	0.097460398432777	0.0152945005210208	S17	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Sulfur
LDIKHCHK_00796	copZ	Copper chaperone CopZ	0	1	0	0.889134576500702	0.90459899212903	S17	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Copper
LDIKHCHK_00798	copA_1	Copper-exporting P-type ATPase	97	28	0	0.103555717570945	0	S2	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Copper
LDIKHCHK_00798	copA_1	Copper-exporting P-type ATPase	93	26	0	0.100166867876629	0	S3	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Copper
LDIKHCHK_00798	copA_1	Copper-exporting P-type ATPase	86	25	0	0.104667283706957	0	S17	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Copper
LDIKHCHK_00799	csoR	Copper-sensing transcriptional repressor CsoR	3	3	0	0.516361411481691	0.478889976979885	S2	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Copper
LDIKHCHK_00799	csoR	Copper-sensing transcriptional repressor CsoR	3	3	0	0.51355690700755	0.475122806504334	S3	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Copper
LDIKHCHK_00799	csoR	Copper-sensing transcriptional repressor CsoR	3	3	0	0.493605485795203	0.448285913996343	S17	NODE_46_length_195634_cov_323.104832	SPAdes-MaxBin2Refined-S2.001	Firmicutes_E	0.99	Copper
