user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SPAdes-MaxBin2Refined-S3.001	d__Bacteria;p__Firmicutes_E;c__Sulfobacillia;o__;f__;g__;s__											d__Bacteria;p__Firmicutes_E;c__;o__;f__;g__;s__	taxonomic novelty determined using RED			91.26	11	0.5014702126760171	
SPAdes-MaxBin2Refined-S3.004_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__SCQM01;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__	taxonomic novelty determined using RED			45.32	11	0.9153072008423212	
SPAdes-MaxBin2Refined-S3.005	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Metallibacterium;s__						GCF_002077135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Metallibacterium;s__Metallibacterium scheffleri	83.33	0.75	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Metallibacterium;s__	taxonomic classification defined by topology and ANI		GCA_003233305.1, s__Metallibacterium sp003233305, 95.0, 75.69, 0.08	96.86	11	0.9570528518017496	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SPAdes-MaxBin2Refined-S3.007_sub	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__CAJCIY01;g__;s__						GCA_903970495.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__CAJCIY01;g__CAJCIY01;s__CAJCIY01 sp903970495	77.18	0.32	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification defined by topology and ANI			84.36	11	0.8319908872243142	
SPAdes-MaxBin2Refined-S3.019_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	taxonomic classification fully defined by topology			91.68	11	0.6470106956790322	
SPAdes-MaxBin2Refined-S3.023_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			73.44	11	0.7714125770532629	
SPAdes-MaxBin2Refined-S3.026	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__;s__						GCA_003165355.1	95.0	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__BOG-1370;s__BOG-1370 sp003165355	76.17	0.04	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__;s__	taxonomic classification defined by topology and ANI			77.33	11	0.775284849802635	
SPAdes-MaxBin2Refined-S3.027	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__						GCA_002255315.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp002255315	78.23	0.33	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	taxonomic classification defined by topology and ANI		GCA_001443545.1, s__RAAP-2 sp001443545, 95.0, 78.53, 0.24; GCA_903893745.1, s__RAAP-2 sp903893745, 95.0, 78.28, 0.17; GCA_003138815.1, s__RAAP-2 sp003138815, 95.0, 78.17, 0.24; GCA_903860745.1, s__RAAP-2 sp903860745, 95.0, 78.08, 0.24; GCA_003133125.1, s__RAAP-2 sp003133125, 95.0, 77.9, 0.16; GCA_013044265.1, s__RAAP-2 sp013044265, 95.0, 77.9, 0.14; GCA_003132165.1, s__RAAP-2 sp003132165, 95.0, 77.9, 0.19; GCA_003160115.1, s__RAAP-2 sp003160115, 95.0, 77.89, 0.22; GCA_002255565.1, s__RAAP-2 sp002255565, 95.0, 77.83, 0.25; GCA_003136415.1, s__RAAP-2 sp003136415, 95.0, 77.81, 0.18; GCA_003132205.1, s__RAAP-2 sp003132205, 95.0, 77.8, 0.22; GCA_003155915.1, s__RAAP-2 sp003155915, 95.0, 77.79, 0.2; GCA_013044285.1, s__RAAP-2 sp013044285, 95.0, 77.78, 0.17; GCA_003170315.1, s__RAAP-2 sp003170315, 95.0, 77.75, 0.19; GCA_013044405.1, s__RAAP-2 sp013044405, 95.0, 77.75, 0.17; GCA_003132305.1, s__RAAP-2 sp003132305, 95.0, 77.75, 0.21; GCA_003167415.1, s__RAAP-2 sp003167415, 95.0, 77.74, 0.21; GCA_003162475.1, s__RAAP-2 sp003162475, 95.0, 77.69, 0.24; GCA_003141095.1, s__RAAP-2 sp003141095, 95.0, 77.68, 0.19; GCA_003134515.1, s__RAAP-2 sp003134515, 95.0, 77.67, 0.2; GCA_003136495.1, s__RAAP-2 sp003136495, 95.0, 77.64, 0.2; GCA_003141815.1, s__RAAP-2 sp003141815, 95.0, 77.64, 0.21; GCA_003142095.1, s__RAAP-2 sp003142095, 95.0, 77.58, 0.19; GCA_003158855.1, s__RAAP-2 sp003158855, 95.0, 77.55, 0.19; GCA_003133075.1, s__RAAP-2 sp003133075, 95.0, 77.53, 0.22; GCA_903828785.1, s__RAAP-2 sp903828785, 95.0, 77.45, 0.15; GCA_003163875.1, s__RAAP-2 sp003163875, 95.0, 77.44, 0.12; GCA_903825035.1, s__RAAP-2 sp903825035, 95.0, 77.43, 0.1; GCA_003133665.1, s__RAAP-2 sp003133665, 95.0, 77.38, 0.22; GCA_003133685.1, s__RAAP-2 sp003133685, 95.0, 77.37, 0.19; GCA_003152215.1, s__RAAP-2 sp003152215, 95.0, 77.36, 0.18; GCA_903924205.1, s__RAAP-2 sp903924205, 95.0, 77.34, 0.11; GCA_003131665.1, s__RAAP-2 sp003131665, 95.0, 77.32, 0.17; GCA_003133405.1, s__RAAP-2 sp003133405, 95.0, 77.28, 0.19; GCA_903970515.1, s__RAAP-2 sp903970515, 95.0, 77.28, 0.17; GCA_903873775.1, s__RAAP-2 sp903873775, 95.0, 77.2, 0.12; GCA_003168075.1, s__RAAP-2 sp003168075, 95.0, 77.15, 0.16; GCA_903860915.1, s__RAAP-2 sp903860915, 95.0, 77.13, 0.1; GCA_903830655.1, s__RAAP-2 sp903830655, 95.0, 77.13, 0.09; GCA_903871335.1, s__RAAP-2 sp903871335, 95.0, 77.07, 0.12; GCA_003133005.1, s__RAAP-2 sp003133005, 95.0, 77.05, 0.15; GCA_003152555.1, s__RAAP-2 sp003152555, 95.0, 77.03, 0.13; GCA_003151555.1, s__RAAP-2 sp003151555, 95.0, 77.01, 0.12; GCA_903825765.1, s__RAAP-2 sp903825765, 95.0, 77.01, 0.17; GCA_903848885.1, s__RAAP-2 sp903848885, 95.0, 77.0, 0.12; GCA_903830745.1, s__RAAP-2 sp903830745, 95.0, 76.99, 0.08; GCA_903885505.1, s__RAAP-2 sp903885505, 95.0, 76.9, 0.14; GCA_003138895.1, s__RAAP-2 sp003138895, 95.0, 76.81, 0.07; GCA_903832015.1, s__RAAP-2 sp903832015, 95.0, 76.39, 0.08; GCA_903854175.1, s__RAAP-2 sp903854175, 95.0, 76.36, 0.04; GCA_009701115.1, s__RAAP-2 sp009701115, 95.0, 76.26, 0.1; GCA_009726065.1, s__RAAP-2 sp009726065, 95.0, 76.24, 0.05; GCA_903826715.1, s__RAAP-2 sp903826715, 95.0, 76.19, 0.03	93.25	11	0.9703982090018154	
SPAdes-MaxBin2Refined-S3.044_sub	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__											d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__	taxonomic novelty determined using RED			90.97	11	0.8507911395701516	
SPAdes-MaxBin2Refined-S3.048	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			87.75	11	0.7744812649941748	
